# =============================================
# ex_ ファイル生成用 入力CSVテンプレート
# =============================================
#
# 【必須列】
#   url         : note または FC2 の記事URL
#   output先    : 1（自分の記事 → external/）/ 2（他サイト記事 → external_curated/）
#   category    : 音楽 / 映画 / 漫画 / ゲーム / 書籍 / 文章
#
# 【任意列】（空欄でもよい）
#   tags        : スペース区切りで複数可（例: 音楽 SonicYouth オルタナ）
#   description : サイト独自の紹介文（空欄なら "" で出力）
#   pubDate     : 記事の公開日（YYYY-MM-DD）。空欄なら自動取得、他サイト記事は手動推奨
#   author      : 著者名。空欄なら自動取得（OGPタイトルの｜以降 or meta[name=author]）
#
# 【注意】
#   - category は上記6種類のみ有効。それ以外はサイトのスキーマエラーになる
#   - # から始まる行はコメントとして読み飛ばされる
#
url,output先,category,tags,description,pubDate
https://listening-log.hatenablog.com/entry/2020/02/19/182321,2,音楽,文章,"音楽について書かれた文章はいくつもありますが、よろすずさんの筆致は事実としての情報量の豊かさはもとより、「どういう風に聴こえたか」が鮮明に記されており特に好きです。しかもドラマチックな形容に飛躍することなく、あくまで「スピーカーと自身の耳」の間の距離感の豊かさを感じさせる。これのSolange評が、世間の評価に頷けなかった自分にも「成程」と思いました。",
https://news.mynavi.jp/article/20140411-denou3/,2,文章,将棋 DIY,"2026年の今では「AIは人間に勝てるのか」なんて即答で「当たり前だろ」と言う感じですが、2010年前半の、「将棋」と言う領域においてそこがまだ確定していなかった頃の動きの全てが、学生だった自分の思考形成に刺さりました。その大きな動きのひとつが、ニコニコが主催していた「電王戦」で、その一試合の記録ですね。将棋を知らない人にも伝わるはず、「DIY」タグは、「ある人間の取り組みの記録」そのものだと思うからです。",
https://note.com/yorosz/n/ndbf0e04578cc,2,音楽,,"Wilcoのギタリストとしても有名なNels Clineについて、フリージャズ～インプロ方面から掘るものとなっています。この人のキャリアの底知れなさがよく分かる、圧倒的情報量の記事です。",
https://note.com/yorosz/n/ndbe34429d18d?magazine_key=m97a0a50aac5f,2,音楽,文章,"特に大袈裟になることもなく自然な筆致のまま作品の感触や美を描ききっているように感じる、素晴らしい音楽レビューです。",
https://p2ptk.org/monopoly/4880/,2,文章,社会,"",
https://news.mynavi.jp/article/20140411-denou3/,2,文章,社会,"現代のプラットフォームが不可避の「メタクソ化」について。硬めの翻訳文体に「プラットフォームはこのように滅びていく」とかぶっ放される読み味、事実と分析を並べるだけで批判たりうる無機質のキレ、そうした読み味も良いです。",
https://m-nerds.com/3dbluray_fureru,2,文章,DIY,"3D映画って覚えてますか？一時期なんかちょっと流行った気がするアレです。アレに突然魅入られてしまったひとの話です。まず「現在どうやったら視聴できるのか」、次に「3D Blu-rayがもう販売されていない」にぶちあたり、何とか購入できた『STAND BY ME ドラえもん』『アナと雪の女王2』のあとにジャン＝リュック・ゴダール『さらば、愛の言葉よ』が出てくる、この並び。DIY(取り組み)の記録としても、文章としても面白すぎる。",
http://www.kaminotane.com/2024/03/05/25508/,2,映画,批評 文章,"2026年に書籍化もされた座組での映画鼎談１。映画、もとい世界の見方が精緻すぎる。感性も言語化もすごすぎる。シンプルに天才たちの会話記録です。この世界の広さと深さを知りたい方に。",
http://www.kaminotane.com/2024/06/26/25784/,2,映画,批評 文章,"2026年に書籍化もされた座組での映画鼎談２。映画、もとい世界の見方が精緻すぎる。感性も言語化もすごすぎる。シンプルに天才たちの会話記録です。この世界の広さと深さを知りたい方に。",
https://note.com/yasuhide1978/n/n7bb21c6604b6,2,音楽,批評,"素晴らしい視点。「グランジ」という言葉が仮想敵にしがちな「メタル」について、実はメタル側からは共感があったという視点を提供する記事。「そこに確かに在ったはずなのに、見過ごされてしまったもの」を取りあげる、自分が一番好きなタイプの文章です。",
