# Astro content generator - input.csv
#
# [url]        Spotify album URL (required)
#              Example: https://open.spotify.com/album/2PJFqQrmD53wpxgJARQANz
#
# [rating]     Rating 0-100 (required)
#              Example: 72
#
# [title]      Album display name override (default: from Spotify)
#              Example: ネガティブ
#
# [artist]     Artist name override (default: from Spotify)
#              Example: 井上陽水
#
# [category]   One of: 音楽 / 映画 / 漫画 / ゲーム / 文章 / その他 (default: 音楽)
#              Example: 音楽
#
# [workType]   Work type label (default: アルバム)
#              Example: アルバム / シングル / EP / 映画 / 書籍
#
# [genArticle] Generate article/works/*.mdx: false / false (default: false)
#              Example: false
#
url,rating,title,artist,category,workType,genArticle
https://open.spotify.com/intl-ja/album/2erOgktBF5FRxQdGhDE3K0?si=4119ffb340714329,87,,,,,false,tamio-live1
https://open.spotify.com/intl-ja/album/0VskfMaczM0MNAlqqvokTC?si=d6097f330b8340f5,94,,,,,false,sy-wash
https://open.spotify.com/intl-ja/album/3jYv3H9FDiWyl8K0PMcsyp?si=a5359f5379164728,95,,,,,false,sy-murray
https://open.spotify.com/intl-ja/album/3jYv3H9FDiWyl8K0PMcsyp?si=a5359f5379164728,100,,,,,false,sy-RainOnTin
https://open.spotify.com/intl-ja/album/23U0Wsas0gJMPDwkgZL7Hh?si=6d8b55bb15f54ff3,76,,,,,false,sy-Destroyed
https://open.spotify.com/intl-ja/album/5VmsN3lsZbtOBhbFiByV3C?si=47f5e142ebdd46a6,80,,,,,false,sy-Anagrama
https://open.spotify.com/intl-ja/album/4bqJebzD7ZUxkfOHuDf1zr?si=B_f02nBeQiW5fNKmZhvx-w,94,,,,,false,NotWonk1st
https://open.spotify.com/intl-ja/album/0h2bAacz8nZoeUzzaL1U0t?si=VuXh7-E9RXCuoP4AgNufrg,83,,,,,false,NotWonk2nd
https://open.spotify.com/intl-ja/album/6EOKiekOSyMfwkUuMJ3fbg?si=kKZpmuxvSJ6gx4saHbQbTg,92,,,,,false,NotWonk3rd
https://open.spotify.com/intl-ja/album/7jFjo6QaBGyv4l6DYz3l9U?si=Yo7TE6KwRBK6Nhhf4zrDgA,89,,,,,false,NotWonk4th
https://open.spotify.com/intl-ja/album/4Qw2TA1A6DKCoT7H1xxcwi?si=Frcfd-LLR9yQ0U0HKsw1wA,84,,,,,false,NotWonk5th
https://open.spotify.com/intl-ja/album/1kuHM3NQ4zH2ZK3Bogm95S?si=dJK5ZtViSE2fWDFHMo9Zqw,87,,,,,false,MyLetter
https://open.spotify.com/intl-ja/album/3BSEZLnzVW6QEX12wcKdFi?si=1302d1b90a224dc8,93,,,,,false,KurtVile-walkin
https://open.spotify.com/intl-ja/album/5jC1TSyImrs1XsyauLhBym?si=22a789bfb3764bc4,74,,,,,false,SeaAndCake1
https://open.spotify.com/intl-ja/album/3OfYfpCCt8phU2tcmEtK9v?si=ae272962a0dd4a2b,87,,,,,false,SeaAndCake2
https://open.spotify.com/intl-ja/album/1Rb7c1xiulBSwPRH5ih5e5?si=4978c074e66a4bb0,85,,,,,false,SeaAndCake3
https://open.spotify.com/intl-ja/album/6gwvz13qhfr4xuqApUzyyE?si=a40fa7a04be54e6e,76,,,,,false,SeaAndCake4
https://open.spotify.com/intl-ja/album/7wBQyxxN4LnPvbC2PaymVx?si=43fe786d5fc44f0e,91,,,,,false,SeaAndCake5
https://open.spotify.com/intl-ja/album/41dFsOn0sekjhbkD8wLBos?si=wmEoJHtHSTi0Nxw6bniBCA,65,,,,,false,SeaAndCake-ep
https://open.spotify.com/intl-ja/album/5clbSCoEBQwvwnByDJ2Z8D?si=3f2a7a90a26c493d,88,,,,,false,Sam1
https://open.spotify.com/intl-ja/album/0iUN5c7t6CWTKnLgtMY6gF?si=e2df20e9878749a6,83,,,,,false,Sam2
https://open.spotify.com/intl-ja/album/2qH1ld2Fntq1t6HfQ0luB2?si=hMbzk3HDRR-qQd2jWh_qzg,80,,,,,false,Directions
https://open.spotify.com/intl-ja/album/0mdZ69GDNxnFX6yuGLfamh?si=s9pV94DiRY-TDfYHWl6HXw,86,,,,,false,Directions-echo
https://open.spotify.com/intl-ja/album/4fKrmPOvNGERio51LCsrWz?si=mAKpe12wQAGXVcATaKz8dQ,90,,,,,false,Inoue-HansomeBoy






